plant_id,plant,warehouse_id,warehouse,plant_region,warehouse_region,distance_km,cost_per_unit,lead_time_days,route_capacity,emission_kg_per_unit,route_risk_score,route_status
P001,Plant_Ahmedabad,W001,WH_Ahmedabad_Zone_1,West,West,17.8,5.39,1,5380,0.0025,3.26,Open
P001,Plant_Ahmedabad,W002,WH_Ahmedabad_Zone_2,West,West,24.9,5.09,1,2403,0.004,3.6,Open
P001,Plant_Ahmedabad,W003,WH_Ahmedabad_Zone_3,West,West,21.2,5.95,1,3272,0.0034,4.6,Open
P001,Plant_Ahmedabad,W004,WH_Ahmedabad_Zone_4,West,West,27.5,5.16,1,2260,0.0036,1.61,Open
P001,Plant_Ahmedabad,W005,WH_Surat_Zone_1,West,West,228.0,6.47,1,3670,0.0504,1.21,Open
P001,Plant_Ahmedabad,W006,WH_Surat_Zone_2,West,West,225.9,8.01,1,4970,0.0506,4.27,Open
P001,Plant_Ahmedabad,W007,WH_Surat_Zone_3,West,West,208.5,7.47,1,1941,0.0428,1.8,Open
P001,Plant_Ahmedabad,W008,WH_Surat_Zone_4,West,West,198.4,8.3,1,2717,0.0275,2.92,Open
P001,Plant_Ahmedabad,W009,WH_Rajkot_Zone_1,West,West,184.7,6.81,1,3019,0.0266,3.74,Open
P001,Plant_Ahmedabad,W010,WH_Rajkot_Zone_2,West,West,200.7,5.4,1,2838,0.0432,1.43,Open
P001,Plant_Ahmedabad,W011,WH_Rajkot_Zone_3,West,West,196.4,7.72,1,3435,0.0325,4.71,Open
P001,Plant_Ahmedabad,W012,WH_Rajkot_Zone_4,West,West,190.5,8.33,1,2114,0.0266,4.26,Open
P001,Plant_Ahmedabad,W013,WH_Mumbai_Zone_1,West,West,432.8,10.93,1,3143,0.0754,3.86,Open
P001,Plant_Ahmedabad,W014,WH_Mumbai_Zone_2,West,West,425.7,12.17,1,2992,0.097,2.54,Open
P001,Plant_Ahmedabad,W015,WH_Mumbai_Zone_3,West,West,421.9,10.96,1,2002,0.0676,1.56,Open
P001,Plant_Ahmedabad,W016,WH_Mumbai_Zone_4,West,West,427.2,11.78,1,3397,0.0898,3.83,Open
P001,Plant_Ahmedabad,W017,WH_Pune_Zone_1,West,West,526.3,12.53,2,2665,0.0848,4.29,Open
P001,Plant_Ahmedabad,W018,WH_Pune_Zone_2,West,West,530.8,9.22,1,4028,0.0783,3.89,Open
P001,Plant_Ahmedabad,W019,WH_Pune_Zone_3,West,West,531.1,13.55,2,2916,0.1164,4.84,Open
P001,Plant_Ahmedabad,W020,WH_Pune_Zone_4,West,West,513.4,10.85,1,3065,0.0977,3.02,Open
P001,Plant_Ahmedabad,W021,WH_Nashik_Zone_1,West,West,356.3,10.86,1,3735,0.0437,3.61,Open
P001,Plant_Ahmedabad,W022,WH_Nashik_Zone_2,West,West,372.5,9.63,1,4168,0.0861,2.8,Open
P001,Plant_Ahmedabad,W023,WH_Nashik_Zone_3,West,West,346.1,9.07,1,2654,0.0545,1.91,Open
P001,Plant_Ahmedabad,W024,WH_Nashik_Zone_4,West,West,341.8,10.31,1,5832,0.0457,2.66,Open
P001,Plant_Ahmedabad,W025,WH_Delhi_Zone_1,West,North,783.2,18.02,2,5834,0.0971,4.65,Open
P001,Plant_Ahmedabad,W026,WH_Delhi_Zone_2,West,North,760.8,12.67,2,5180,0.1443,3.53,Open
P001,Plant_Ahmedabad,W027,WH_Delhi_Zone_3,West,North,782.8,11.3,2,4501,0.1748,3.14,Open
P001,Plant_Ahmedabad,W028,WH_Delhi_Zone_4,West,North,776.2,12.77,2,1751,0.1768,1.82,Open
P001,Plant_Ahmedabad,W029,WH_Gurugram_Zone_1,West,North,746.2,12.88,3,3857,0.1365,2.76,Open
P001,Plant_Ahmedabad,W030,WH_Gurugram_Zone_2,West,North,757.6,13.65,2,5695,0.1157,4.59,Open
P001,Plant_Ahmedabad,W031,WH_Gurugram_Zone_3,West,North,771.6,16.76,2,3879,0.0951,1.89,Open
P001,Plant_Ahmedabad,W032,WH_Gurugram_Zone_4,West,North,767.9,12.27,2,4475,0.1141,1.4,Open
P001,Plant_Ahmedabad,W033,WH_Noida_Zone_1,West,North,767.7,14.44,2,964,0.1051,2.63,Open
P001,Plant_Ahmedabad,W034,WH_Noida_Zone_2,West,North,766.6,14.43,2,4495,0.1087,3.33,Open
P001,Plant_Ahmedabad,W035,WH_Noida_Zone_3,West,North,787.1,15.84,2,2209,0.1287,1.14,Open
P001,Plant_Ahmedabad,W036,WH_Noida_Zone_4,West,North,773.7,18.4,2,4377,0.1637,1.56,Open
P001,Plant_Ahmedabad,W037,WH_Jaipur_Zone_1,West,North,552.3,15.13,2,3986,0.1002,3.97,Open
P001,Plant_Ahmedabad,W038,WH_Jaipur_Zone_2,West,North,547.1,12.51,2,1241,0.1248,3.76,Open
P001,Plant_Ahmedabad,W039,WH_Jaipur_Zone_3,West,North,538.0,13.07,2,2881,0.1003,3.61,Open
P001,Plant_Ahmedabad,W040,WH_Jaipur_Zone_4,West,North,560.0,12.86,1,1445,0.1164,2.0,Open
P001,Plant_Ahmedabad,W041,WH_Chandigarh_Zone_1,West,North,979.9,19.66,3,5597,0.1786,1.19,Open
P001,Plant_Ahmedabad,W042,WH_Chandigarh_Zone_2,West,North,937.1,13.84,3,948,0.2066,2.75,Open
P001,Plant_Ahmedabad,W043,WH_Chandigarh_Zone_3,West,North,974.5,22.14,3,3511,0.2265,3.93,Open
P001,Plant_Ahmedabad,W044,WH_Chandigarh_Zone_4,West,North,939.4,14.73,3,5260,0.1302,3.49,Open
P001,Plant_Ahmedabad,W045,WH_Lucknow_Zone_1,West,North,946.0,17.23,2,2439,0.1629,1.99,Open
P001,Plant_Ahmedabad,W046,WH_Lucknow_Zone_2,West,North,944.6,21.0,2,3122,0.149,4.23,Open
P001,Plant_Ahmedabad,W047,WH_Lucknow_Zone_3,West,North,923.9,21.83,3,4463,0.2077,3.93,Open
P001,Plant_Ahmedabad,W048,WH_Lucknow_Zone_4,West,North,939.3,20.8,3,4526,0.1909,1.21,Open
P001,Plant_Ahmedabad,W049,WH_Kanpur_Zone_1,West,North,872.2,18.34,2,3957,0.2005,1.14,Open
P001,Plant_Ahmedabad,W050,WH_Kanpur_Zone_2,West,North,849.9,19.05,2,4094,0.1899,4.38,Open
P001,Plant_Ahmedabad,W051,WH_Kanpur_Zone_3,West,North,869.1,14.17,3,930,0.1769,2.36,Open
P001,Plant_Ahmedabad,W052,WH_Kanpur_Zone_4,West,North,862.5,17.94,2,1720,0.1799,3.08,Open
P001,Plant_Ahmedabad,W053,WH_Ludhiana_Zone_1,West,North,914.0,16.57,2,5146,0.2056,3.12,Open
P001,Plant_Ahmedabad,W054,WH_Ludhiana_Zone_2,West,North,921.5,22.37,2,5372,0.1147,2.92,Open
P001,Plant_Ahmedabad,W055,WH_Ludhiana_Zone_3,West,North,916.2,17.82,3,5235,0.191,1.96,Open
P001,Plant_Ahmedabad,W056,WH_Ludhiana_Zone_4,West,North,938.1,13.89,3,1231,0.1146,4.95,Open
P001,Plant_Ahmedabad,W057,WH_Bengaluru_Zone_1,West,South,1231.1,21.46,2,2908,0.186,3.35,Open
P001,Plant_Ahmedabad,W058,WH_Bengaluru_Zone_2,West,South,1249.9,27.76,2,5667,0.1847,4.77,Open
P001,Plant_Ahmedabad,W059,WH_Bengaluru_Zone_3,West,South,1211.8,23.21,4,3065,0.1508,4.83,Open
P001,Plant_Ahmedabad,W060,WH_Bengaluru_Zone_4,West,South,1242.6,25.95,3,5939,0.2975,1.7,Open
P001,Plant_Ahmedabad,W061,WH_Chennai_Zone_1,West,South,1355.6,22.78,3,4869,0.264,3.99,Open
P001,Plant_Ahmedabad,W062,WH_Chennai_Zone_2,West,South,1368.0,18.91,3,3482,0.1854,4.55,Open
P001,Plant_Ahmedabad,W063,WH_Chennai_Zone_3,West,South,1379.8,30.33,3,1754,0.2122,2.01,Open
P001,Plant_Ahmedabad,W064,WH_Chennai_Zone_4,West,South,1393.1,16.75,3,2511,0.2814,1.3,Open
P001,Plant_Ahmedabad,W065,WH_Hyderabad_Zone_1,West,South,866.0,19.39,2,2391,0.1727,3.18,Open
P001,Plant_Ahmedabad,W066,WH_Hyderabad_Zone_2,West,South,883.6,19.9,3,2504,0.1414,1.95,Open
P001,Plant_Ahmedabad,W067,WH_Hyderabad_Zone_3,West,South,888.5,20.96,2,1356,0.1996,1.12,Open
P001,Plant_Ahmedabad,W068,WH_Hyderabad_Zone_4,West,South,868.8,18.88,3,3203,0.1622,4.03,Open
P001,Plant_Ahmedabad,W069,WH_Cochin_Zone_1,West,South,1488.2,21.14,3,5255,0.225,3.54,Open
P001,Plant_Ahmedabad,W070,WH_Cochin_Zone_2,West,South,1485.7,24.93,3,2047,0.3281,2.57,Open
P001,Plant_Ahmedabad,W071,WH_Cochin_Zone_3,West,South,1492.7,21.89,3,5626,0.2089,4.08,Open
P001,Plant_Ahmedabad,W072,WH_Cochin_Zone_4,West,South,1513.4,27.5,3,5599,0.3044,2.78,Open
P001,Plant_Ahmedabad,W073,WH_Coimbatore_Zone_1,West,South,1395.4,25.68,3,4799,0.2965,3.73,Open
P001,Plant_Ahmedabad,W074,WH_Coimbatore_Zone_2,West,South,1426.2,25.1,3,838,0.2613,4.3,Open
P001,Plant_Ahmedabad,W075,WH_Coimbatore_Zone_3,West,South,1432.3,22.72,4,4578,0.3353,1.6,Open
P001,Plant_Ahmedabad,W076,WH_Coimbatore_Zone_4,West,South,1395.8,23.07,3,5465,0.3173,1.92,Open
P001,Plant_Ahmedabad,W077,WH_Mysuru_Zone_1,West,South,1290.0,19.69,3,3055,0.2389,1.64,Open
P001,Plant_Ahmedabad,W078,WH_Mysuru_Zone_2,West,South,1286.7,18.3,3,5244,0.1747,1.13,Open
P001,Plant_Ahmedabad,W079,WH_Mysuru_Zone_3,West,South,1267.1,27.86,4,4144,0.2444,1.99,Open
P001,Plant_Ahmedabad,W080,WH_Mysuru_Zone_4,West,South,1279.8,22.32,3,3233,0.2761,2.24,Open
P001,Plant_Ahmedabad,W081,WH_Kolkata_Zone_1,West,East,1606.7,25.36,4,5502,0.332,3.63,Open
P001,Plant_Ahmedabad,W082,WH_Kolkata_Zone_2,West,East,1617.4,31.98,3,2376,0.2411,4.95,Open
P001,Plant_Ahmedabad,W083,WH_Kolkata_Zone_3,West,East,1616.8,22.31,4,5137,0.2574,3.07,Open
P001,Plant_Ahmedabad,W084,WH_Kolkata_Zone_4,West,East,1605.0,19.93,4,3041,0.3809,1.8,Open
P001,Plant_Ahmedabad,W085,WH_Bhubaneswar_Zone_1,West,East,1389.5,25.3,3,1116,0.2845,1.13,Open
P001,Plant_Ahmedabad,W086,WH_Bhubaneswar_Zone_2,West,East,1386.9,29.54,3,2513,0.2705,4.13,Open
P001,Plant_Ahmedabad,W087,WH_Bhubaneswar_Zone_3,West,East,1394.4,25.91,3,821,0.243,3.57,Open
P001,Plant_Ahmedabad,W088,WH_Bhubaneswar_Zone_4,West,East,1409.3,23.6,4,3756,0.2502,3.46,Open
P001,Plant_Ahmedabad,W089,WH_Ranchi_Zone_1,West,East,1294.0,21.32,3,3135,0.2326,3.22,Open
P001,Plant_Ahmedabad,W090,WH_Ranchi_Zone_2,West,East,1318.9,26.89,3,1554,0.2659,1.29,Open
P001,Plant_Ahmedabad,W091,WH_Ranchi_Zone_3,West,East,1307.1,17.26,3,1756,0.2896,3.52,Open
P001,Plant_Ahmedabad,W092,WH_Ranchi_Zone_4,West,East,1291.2,25.4,3,2073,0.2673,2.95,Open
P001,Plant_Ahmedabad,W093,WH_Guwahati_Zone_1,West,East,1977.0,38.71,4,2069,0.3224,2.54,Open
P001,Plant_Ahmedabad,W094,WH_Guwahati_Zone_2,West,East,1954.3,30.68,5,5373,0.2767,1.95,Open
P001,Plant_Ahmedabad,W095,WH_Guwahati_Zone_3,West,East,1969.6,41.4,5,5276,0.3416,3.06,Open
P001,Plant_Ahmedabad,W096,WH_Guwahati_Zone_4,West,East,1950.5,28.58,4,2913,0.4349,1.04,Open
P001,Plant_Ahmedabad,W097,WH_Patna_Zone_1,West,East,1294.7,23.48,4,3881,0.1668,1.68,Open
P001,Plant_Ahmedabad,W098,WH_Patna_Zone_2,West,East,1309.9,23.97,4,3160,0.1834,1.67,Open
P001,Plant_Ahmedabad,W099,WH_Patna_Zone_3,West,East,1284.1,17.61,3,2379,0.2229,4.46,Open
P001,Plant_Ahmedabad,W100,WH_Patna_Zone_4,West,East,1310.7,22.45,4,2116,0.3046,1.16,Open
P001,Plant_Ahmedabad,W101,WH_Indore_Zone_1,West,Central,323.5,9.09,1,2029,0.0655,2.59,Open
P001,Plant_Ahmedabad,W102,WH_Indore_Zone_2,West,Central,347.4,8.17,1,4049,0.056,3.13,Open
P001,Plant_Ahmedabad,W103,WH_Indore_Zone_3,West,Central,338.4,7.29,1,2833,0.0483,3.92,Open
P001,Plant_Ahmedabad,W104,WH_Indore_Zone_4,West,Central,356.2,9.62,1,3274,0.072,2.99,Open
P001,Plant_Ahmedabad,W105,WH_Bhopal_Zone_1,West,Central,505.8,12.37,1,5709,0.1165,3.4,Open
P001,Plant_Ahmedabad,W106,WH_Bhopal_Zone_2,West,Central,515.5,14.26,2,4833,0.1237,1.19,Open
P001,Plant_Ahmedabad,W107,WH_Bhopal_Zone_3,West,Central,512.1,14.88,1,1288,0.0682,3.6,Open
P001,Plant_Ahmedabad,W108,WH_Bhopal_Zone_4,West,Central,488.5,12.43,1,1650,0.1095,2.5,Open
P001,Plant_Ahmedabad,W109,WH_Nagpur_Zone_1,West,Central,697.0,12.63,2,2990,0.1418,2.55,Open
P001,Plant_Ahmedabad,W110,WH_Nagpur_Zone_2,West,Central,696.4,13.69,2,3815,0.1394,3.48,Open
P001,Plant_Ahmedabad,W111,WH_Nagpur_Zone_3,West,Central,693.9,14.98,2,1977,0.0923,1.6,Open
P001,Plant_Ahmedabad,W112,WH_Nagpur_Zone_4,West,Central,715.4,14.71,2,3345,0.1473,3.08,Open
P001,Plant_Ahmedabad,W113,WH_Raipur_Zone_1,West,Central,938.4,21.43,2,1514,0.1554,1.79,Open
P001,Plant_Ahmedabad,W114,WH_Raipur_Zone_2,West,Central,960.4,17.01,2,3341,0.1507,4.21,Open
P001,Plant_Ahmedabad,W115,WH_Raipur_Zone_3,West,Central,950.5,18.5,3,2937,0.128,1.72,Open
P001,Plant_Ahmedabad,W116,WH_Raipur_Zone_4,West,Central,939.4,19.33,3,1244,0.1417,4.85,Open
P001,Plant_Ahmedabad,W117,WH_Jabalpur_Zone_1,West,Central,768.7,15.35,2,3738,0.0925,3.55,Open
P001,Plant_Ahmedabad,W118,WH_Jabalpur_Zone_2,West,Central,747.9,15.89,2,2460,0.1711,4.08,Open
P001,Plant_Ahmedabad,W119,WH_Jabalpur_Zone_3,West,Central,739.6,14.82,2,4073,0.1606,4.07,Open
P001,Plant_Ahmedabad,W120,WH_Jabalpur_Zone_4,West,Central,768.8,12.05,2,5568,0.1123,1.38,Open
P002,Plant_Surat,W001,WH_Ahmedabad_Zone_1,West,West,210.5,8.07,1,3437,0.0412,1.23,Open
